DATE,FLCONS
2002-01-01,501.3
2002-02-01,500.1
2002-03-01,500.5
2002-04-01,502.4
2002-05-01,502.8
2002-06-01,501.9
2002-07-01,500.7
2002-08-01,504.7
2002-09-01,505.9
2002-10-01,511.0
2002-11-01,512.8
2002-12-01,513.7
2003-01-01,514.7
2003-02-01,515.8
2003-03-01,516.2
2003-04-01,517.0
2003-05-01,519.2
2003-06-01,522.1
2003-07-01,524.2
2003-08-01,526.8
2003-09-01,529.1
2003-10-01,530.4
2003-11-01,533.5
2003-12-01,538.6
2004-01-01,550.4
2004-02-01,553.8
2004-03-01,557.1
2004-04-01,562.4
2004-05-01,563.3
2004-06-01,567.4
2004-07-01,574.6
2004-08-01,578.2
2004-09-01,577.6
2004-10-01,590.4
2004-11-01,596.0
2004-12-01,601.5
2005-01-01,608.2
2005-02-01,611.9
2005-03-01,612.3
2005-04-01,623.0
2005-05-01,627.1
2005-06-01,631.0
2005-07-01,641.4
2005-08-01,646.8
2005-09-01,653.1
2005-10-01,658.7
2005-11-01,664.4
2005-12-01,669.5
2006-01-01,674.7
2006-02-01,680.0
2006-03-01,683.9
2006-04-01,687.5
2006-05-01,689.3
2006-06-01,689.0
2006-07-01,687.1
2006-08-01,686.4
2006-09-01,683.4
2006-10-01,679.7
2006-11-01,674.7
2006-12-01,669.3
2007-01-01,663.7
2007-02-01,657.6
2007-03-01,654.4
2007-04-01,641.1
2007-05-01,636.4
2007-06-01,632.0
2007-07-01,618.8
2007-08-01,611.9
2007-09-01,603.5
2007-10-01,591.9
2007-11-01,585.5
2007-12-01,577.8
2008-01-01,567.0
2008-02-01,559.5
2008-03-01,549.8
2008-04-01,535.5
2008-05-01,529.3
2008-06-01,521.2
2008-07-01,510.8
2008-08-01,502.0
2008-09-01,496.2
2008-10-01,484.4
2008-11-01,473.6
2008-12-01,462.5
2009-01-01,444.2
2009-02-01,431.5
2009-03-01,421.2
2009-04-01,411.1
2009-05-01,403.6
2009-06-01,396.4
2009-07-01,390.2
2009-08-01,382.8
2009-09-01,377.8
2009-10-01,372.3
2009-11-01,367.0
2009-12-01,363.1
2010-01-01,355.6
2010-02-01,353.9
2010-03-01,351.9
2010-04-01,358.8
2010-05-01,354.7
2010-06-01,352.8
2010-07-01,357.3
2010-08-01,352.6
2010-09-01,347.8
2010-10-01,344.5
2010-11-01,341.1
2010-12-01,338.4
2011-01-01,336.1
2011-02-01,335.0
2011-03-01,333.7
2011-04-01,337.6
2011-05-01,335.5
2011-06-01,333.6
2011-07-01,336.6
2011-08-01,334.9
2011-09-01,336.9
2011-10-01,334.5
2011-11-01,335.5
2011-12-01,335.8
2012-01-01,336.3
2012-02-01,336.1
2012-03-01,337.1
2012-04-01,338.0
2012-05-01,339.0
2012-06-01,340.4
2012-07-01,341.5
2012-08-01,343.6
2012-09-01,345.5
2012-10-01,347.4
2012-11-01,349.9
2012-12-01,350.4
2013-01-01,352.1
2013-02-01,353.8
2013-03-01,356.1
2013-04-01,359.6
2013-05-01,362.1
2013-06-01,363.3
2013-07-01,367.3
2013-08-01,371.5
2013-09-01,372.8
2013-10-01,374.9
2013-11-01,377.9
2013-12-01,380.2
2014-01-01,381.7
2014-02-01,384.8
2014-03-01,386.2
2014-04-01,390.3
2014-05-01,393.7
2014-06-01,395.8
2014-07-01,399.2
2014-08-01,402.2
2014-09-01,404.2
2014-10-01,408.4
2014-11-01,409.4
2014-12-01,411.7
2015-01-01,415.1
2015-02-01,417.3
2015-03-01,419.8
2015-04-01,423.3
2015-05-01,426.0
2015-06-01,429.2
2015-07-01,432.6
2015-08-01,435.4
2015-09-01,438.1
2015-10-01,447.7
2015-11-01,450.6
2015-12-01,453.9
2016-01-01,457.3
2016-02-01,460.9
2016-03-01,463.4
2016-04-01,469.1
2016-05-01,470.5
2016-06-01,472.4
2016-07-01,477.2
2016-08-01,479.4
2016-09-01,484.1
2016-10-01,486.8
2016-11-01,490.3
2016-12-01,493.0
2017-01-01,495.2
2017-02-01,498.0
2017-03-01,500.1
2017-04-01,501.0
2017-05-01,503.9
2017-06-01,507.0
2017-07-01,507.6
2017-08-01,510.4
2017-09-01,485.0
2017-10-01,515.0
2017-11-01,517.5
2017-12-01,520.5
2018-01-01,524.6
2018-02-01,532.2
2018-03-01,534.9
2018-04-01,537.5
2018-05-01,538.1
2018-06-01,542.5
2018-07-01,542.9
2018-08-01,547.1
2018-09-01,548.9
2018-10-01,552.5
2018-11-01,554.2
2018-12-01,556.0
2019-01-01,557.8
2019-02-01,558.9
2019-03-01,559.4
2019-04-01,560.3
2019-05-01,562.0
2019-06-01,563.4
2019-07-01,565.0
2019-08-01,568.3
2019-09-01,568.7
2019-10-01,571.5
2019-11-01,574.9
2019-12-01,573.2
2020-01-01,574.9
2020-02-01,577.4
2020-03-01,572.6
2020-04-01,538.3
2020-05-01,558.1
2020-06-01,563.2
2020-07-01,559.1
2020-08-01,561.0
2020-09-01,559.0
2020-10-01,564.7
2020-11-01,563.4
2020-12-01,566.1
2021-01-01,568.3
2021-02-01,570.7
2021-03-01,573.2
2021-04-01,575.8
2021-05-01,575.2
2021-06-01,573.0
2021-07-01,576.7
2021-08-01,575.0
2021-09-01,576.6
2021-10-01,577.3
2021-11-01,585.0
2021-12-01,581.4
2022-01-01,586.0
2022-02-01,591.5
