DATE,RRVRUSQ156N
2002-01-01,9.1
2002-04-01,8.4
2002-07-01,9.0
2002-10-01,9.3
2003-01-01,9.4
2003-04-01,9.6
2003-07-01,9.9
2003-10-01,10.2
2004-01-01,10.4
2004-04-01,10.2
2004-07-01,10.1
2004-10-01,10.0
2005-01-01,10.1
2005-04-01,9.8
2005-07-01,9.9
2005-10-01,9.6
2006-01-01,9.5
2006-04-01,9.6
2006-07-01,9.9
2006-10-01,9.8
2007-01-01,10.1
2007-04-01,9.5
2007-07-01,9.8
2007-10-01,9.6
2008-01-01,10.1
2008-04-01,10.0
2008-07-01,9.9
2008-10-01,10.1
2009-01-01,10.1
2009-04-01,10.6
2009-07-01,11.1
2009-10-01,10.7
2010-01-01,10.6
2010-04-01,10.6
2010-07-01,10.3
2010-10-01,9.4
2011-01-01,9.7
2011-04-01,9.2
2011-07-01,9.8
2011-10-01,9.4
2012-01-01,8.8
2012-04-01,8.6
2012-07-01,8.6
2012-10-01,8.7
2013-01-01,8.6
2013-04-01,8.2
2013-07-01,8.3
2013-10-01,8.2
2014-01-01,8.3
2014-04-01,7.5
2014-07-01,7.4
2014-10-01,7.0
2015-01-01,7.1
2015-04-01,6.8
2015-07-01,7.3
2015-10-01,7.0
2016-01-01,7.0
2016-04-01,6.7
2016-07-01,6.8
2016-10-01,6.9
2017-01-01,7.0
2017-04-01,7.3
2017-07-01,7.5
2017-10-01,6.9
2018-01-01,7.0
2018-04-01,6.8
2018-07-01,7.1
2018-10-01,6.6
2019-01-01,7.0
2019-04-01,6.8
2019-07-01,6.8
2019-10-01,6.4
2020-01-01,6.6
2020-04-01,5.7
2020-07-01,6.4
2020-10-01,6.5
2021-01-01,6.8
2021-04-01,6.2
2021-07-01,5.8
2021-10-01,5.6
