DATE,SHTSAUS
2002-01-01,194.0
2002-02-01,186.0
2002-03-01,171.0
2002-04-01,176.0
2002-05-01,173.0
2002-06-01,171.0
2002-07-01,169.0
2002-08-01,166.0
2002-09-01,162.0
2002-10-01,156.0
2002-11-01,150.0
2002-12-01,144.0
2003-01-01,141.0
2003-02-01,138.0
2003-03-01,128.0
2003-04-01,131.0
2003-05-01,130.0
2003-06-01,131.0
2003-07-01,137.0
2003-08-01,129.0
2003-09-01,128.0
2003-10-01,126.0
2003-11-01,125.0
2003-12-01,126.0
2004-01-01,122.0
2004-02-01,123.0
2004-03-01,133.0
2004-04-01,129.0
2004-05-01,129.0
2004-06-01,129.0
2004-07-01,129.0
2004-08-01,127.0
2004-09-01,134.0
2004-10-01,136.0
2004-11-01,135.0
2004-12-01,133.0
2005-01-01,149.0
2005-02-01,138.0
2005-03-01,126.0
2005-04-01,131.0
2005-05-01,127.0
2005-06-01,128.0
2005-07-01,128.0
2005-08-01,124.0
2005-09-01,136.0
2005-10-01,194.0
2005-11-01,210.0
2005-12-01,183.0
2006-01-01,163.0
2006-02-01,146.0
2006-03-01,135.0
2006-04-01,126.0
2006-05-01,122.0
2006-06-01,116.0
2006-07-01,110.0
2006-08-01,108.0
2006-09-01,102.0
2006-10-01,98.0
2006-11-01,97.0
2006-12-01,97.0
2007-01-01,97.0
2007-02-01,97.0
2007-03-01,98.0
2007-04-01,98.0
2007-05-01,97.0
2007-06-01,98.0
2007-07-01,96.0
2007-08-01,94.0
2007-09-01,93.0
2007-10-01,94.0
2007-11-01,93.0
2007-12-01,92.0
2008-01-01,95.0
2008-02-01,99.0
2008-03-01,93.0
2008-04-01,92.0
2008-05-01,87.0
2008-06-01,84.0
2008-07-01,82.0
2008-08-01,79.0
2008-09-01,75.0
2008-10-01,69.0
2008-11-01,66.0
2008-12-01,62.0
2009-01-01,57.0
2009-02-01,54.0
2009-03-01,50.0
2009-04-01,48.0
2009-05-01,48.0
2009-06-01,46.0
2009-07-01,50.0
2009-08-01,48.0
2009-09-01,48.0
2009-10-01,49.0
2009-11-01,51.0
2009-12-01,51.0
2010-01-01,51.0
2010-02-01,53.0
2010-03-01,54.0
2010-04-01,55.0
2010-05-01,57.0
2010-06-01,55.0
2010-07-01,52.0
2010-08-01,50.0
2010-09-01,47.0
2010-10-01,43.0
2010-11-01,43.0
2010-12-01,40.0
2011-01-01,44.0
2011-02-01,44.0
2011-03-01,46.0
2011-04-01,47.0
2011-05-01,49.0
2011-06-01,50.0
2011-07-01,48.0
2011-08-01,50.0
2011-09-01,56.0
2011-10-01,63.0
2011-11-01,65.0
2011-12-01,58.0
2012-01-01,59.0
2012-02-01,58.0
2012-03-01,57.0
2012-04-01,55.0
2012-05-01,54.0
2012-06-01,54.0
2012-07-01,54.0
2012-08-01,54.0
2012-09-01,53.0
2012-10-01,53.0
2012-11-01,54.0
2012-12-01,56.0
2013-01-01,57.0
2013-02-01,59.0
2013-03-01,56.0
2013-04-01,60.0
2013-05-01,59.0
2013-06-01,61.0
2013-07-01,58.0
2013-08-01,62.0
2013-09-01,65.0
2013-10-01,63.0
2013-11-01,62.0
2013-12-01,61.0
2014-01-01,57.0
2014-02-01,61.0
2014-03-01,62.0
2014-04-01,63.0
2014-05-01,64.0
2014-06-01,63.0
2014-07-01,68.0
2014-08-01,67.0
2014-09-01,67.0
2014-10-01,67.0
2014-11-01,66.0
2014-12-01,66.0
2015-01-01,65.0
2015-02-01,65.0
2015-03-01,67.0
2015-04-01,67.0
2015-05-01,69.0
2015-06-01,68.0
2015-07-01,74.0
2015-08-01,74.0
2015-09-01,72.0
2015-10-01,74.0
2015-11-01,75.0
2015-12-01,76.0
2016-01-01,78
2016-02-01,77
2016-03-01,79.0
2016-04-01,79
2016-05-01,79.0
2016-06-01,80
2016-07-01,75
2016-08-01,80
2016-09-01,83.0
2016-10-01,84
2016-11-01,87
2016-12-01,94
2017-01-01,99.0
2017-02-01,93
2017-03-01,89
2017-04-01,89.0
2017-05-01,89.0
2017-06-01,90.0
2017-07-01,83.0
2017-08-01,91
2017-09-01,92.0
2017-10-01,98
2017-11-01,100
2017-12-01,104
2018-01-01,103.0
2018-02-01,101
2018-03-01,100
2018-04-01,99.0
2018-05-01,98.0
2018-06-01,97.0
2018-07-01,95.0
2018-08-01,97.0
2018-09-01,96
2018-10-01,93
2018-11-01,89.0
2018-12-01,87
2019-01-01,87.0
2019-02-01,90.0
2019-03-01,91
2019-04-01,94
2019-05-01,94.0
2019-06-01,96
2019-07-01,95
2019-08-01,96.0
2019-09-01,98
2019-10-01,99
2019-11-01,99.0
2019-12-01,97.0
2020-01-01,98
2020-02-01,104
2020-03-01,96
2020-04-01,75
2020-05-01,82
2020-06-01,87.0
2020-07-01,94
2020-08-01,95
2020-09-01,96
2020-10-01,98
2020-11-01,101
2020-12-01,103
2021-01-01,105
2021-02-01,102
2021-03-01,108
2021-04-01,106
2021-05-01,105
2021-06-01,106
2021-07-01,104
2021-08-01,105
2021-09-01,106
2021-10-01,107
2021-11-01,110
2021-12-01,108
2022-01-01,112
