DATE,InflationRate
2004-07,2.8
2004-08,2.84
2004-09,2.73
2004-10,2.72
2004-11,2.8
2004-12,2.86
2005-01,2.79
2005-02,2.76
2005-03,2.94
2005-04,2.88
2005-05,2.74
2005-06,2.55
2005-07,2.48
2005-08,2.51
2005-09,2.58
2005-10,2.65
2005-11,2.67
2005-12,2.59
2006-01,2.6
2006-02,2.72
2006-03,2.74
2006-04,2.79
2006-05,2.87
2006-06,2.75
2006-07,2.73
2006-08,2.77
2006-09,2.62
2006-10,2.56
2006-11,2.55
2006-12,2.52
2007-01,2.53
2007-02,2.55
2007-03,2.54
2007-04,2.6
2007-05,2.53
2007-06,2.62
2007-07,2.57
2007-08,2.53
2007-09,2.54
2007-10,2.57
2007-11,2.57
2007-12,2.49
2008-01,2.54
2008-02,2.62
2008-03,2.6
2008-04,2.53
2008-05,2.6
2008-06,2.55
2008-07,2.53
2008-08,2.38
2008-09,2.07
2008-10,1.58
2008-11,1.27
2008-12,0.86
2009-01,1.0
2009-02,1.52
2009-03,1.52
2009-04,1.62
2009-05,1.86
2009-06,2.15
2009-07,2.07
2009-08,2.11
2009-09,2.01
2009-10,2.12
2009-11,2.34
2009-12,2.41
2010-01,2.5
2010-02,2.45
2010-03,2.51
2010-04,2.63
2010-05,2.39
2010-06,2.26
2010-07,2.0
2010-08,1.87
2010-09,1.89
2010-10,2.2
2010-11,2.38
2010-12,2.5
2011-01,2.58
2011-02,2.57
2011-03,2.69
2011-04,2.8
2011-05,2.54
2011-06,2.38
2011-07,2.59
2011-08,2.43
2011-09,2.14
2011-10,2.15
2011-11,2.17
2011-12,2.11
2012-01,2.19
2012-02,2.3
2012-03,2.38
2012-04,2.32
2012-05,2.09
2012-06,2.21
2012-07,2.23
2012-08,2.34
2012-09,2.47
2012-10,2.52
2012-11,2.45
2012-12,2.47
2013-01,2.48
2013-02,2.59
2013-03,2.59
2013-04,2.48
2013-05,2.38
2013-06,2.09
2013-07,2.22
2013-08,2.33
2013-09,2.31
2013-10,2.33
2013-11,2.3
2013-12,2.31
2014-01,2.35
2014-02,2.26
2014-03,2.3
2014-04,2.29
2014-05,2.3
2014-06,2.31
2014-07,2.35
2014-08,2.3
2014-09,2.2
2014-10,2.03
2014-11,1.99
2014-12,1.82
2015-01,1.7
2015-02,1.82
2015-03,1.86
2015-04,1.91
2015-05,1.99
2015-06,1.96
2015-07,1.9
2015-08,1.68
2015-09,1.61
2015-10,1.52
2015-11,1.66
2015-12,1.55
2016-01,1.44
2016-02,1.35
2016-03,1.55
2016-04,1.61
2016-05,1.58
2016-06,1.39
2016-07,1.4
2016-08,1.46
2016-09,1.55
2016-10,1.68
2016-11,1.85
2016-12,1.95
2017-01,2.01
2017-02,2.03
2017-03,2.04
2017-04,1.95
2017-05,1.9
2017-06,1.79
2017-07,1.81
2017-08,1.81
2017-09,1.86
2017-10,1.88
2017-11,1.88
2017-12,1.92
2018-01,2.04
2018-02,2.13
2018-03,2.08
2018-04,2.11
2018-05,2.13
2018-06,2.11
2018-07,2.1
2018-08,2.11
2018-09,2.13
2018-10,2.13
2018-11,2.06
2018-12,1.87
2019-01,1.82
2019-02,1.91
2019-03,1.95
2019-04,1.97
2019-05,1.88
2019-06,1.77
2019-07,1.82
2019-08,1.66
2019-09,1.65
2019-10,1.64
2019-11,1.76
2019-12,1.81
2020-01,1.81
2020-02,1.69
2020-03,1.23
2020-04,1.34
2020-05,1.38
2020-06,1.55
2020-07,1.61
2020-08,1.76
2020-09,1.8
2020-10,1.85
2020-11,1.84
2020-12,2.01
2021-01,2.16
2021-02,2.23
2021-03,2.38
2021-04,2.4
2021-05,2.49
2021-06,2.43
2021-07,2.39
2021-08,2.39
2021-09,2.38
2021-10,2.54
2021-11,2.6
2021-12,2.51
2022-01,2.46
2022-02,2.44
