DATE,TAXES
2002-01,6635.0
2002-02,6625.0
2002-03,6615.0
2002-04,6605.0
2002-05,6413.666666666667
2002-06,6222.333333333333
2002-07,6031.0
2002-08,6260.666666666667
2002-09,6490.333333333333
2002-10,6720.0
2002-11,6728.0
2002-12,6736.0
2003-01,6744.0
2003-02,6966.333333333333
2003-03,7188.666666666667
2003-04,7411.0
2003-05,7359.0
2003-06,7307.0
2003-07,7255.0
2003-08,7259.0
2003-09,7263.0
2003-10,7267.0
2003-11,7474.0
2003-12,7681.0
2004-01,7888.0
2004-02,7945.0
2004-03,8002.0
2004-04,8059.0
2004-05,8033.666666666667
2004-06,8008.333333333333
2004-07,7983.0
2004-08,8010.333333333333
2004-09,8037.666666666667
2004-10,8065.0
2004-11,8509.666666666666
2004-12,8954.333333333334
2005-01,9399.0
2005-02,9682.333333333334
2005-03,9965.666666666666
2005-04,10249.0
2005-05,9974.333333333334
2005-06,9699.666666666666
2005-07,9425.0
2005-08,9429.333333333334
2005-09,9433.666666666666
2005-10,9438.0
2005-11,9706.666666666666
2005-12,9975.333333333334
2006-01,10244.0
2006-02,10428.0
2006-03,10612.0
2006-04,10796.0
2006-05,10313.333333333334
2006-06,9830.666666666666
2006-07,9348.0
2006-08,9391.333333333334
2006-09,9434.666666666666
2006-10,9478.0
2006-11,9586.0
2006-12,9694.0
2007-01,9802.0
2007-02,9933.666666666666
2007-03,10065.333333333334
2007-04,10197.0
2007-05,9517.333333333334
2007-06,8837.666666666666
2007-07,8158.0
2007-08,8381.666666666666
2007-09,8605.333333333334
2007-10,8829.0
2007-11,8857.666666666666
2007-12,8886.333333333334
2008-01,8915.0
2008-02,9061.333333333334
2008-03,9207.666666666666
2008-04,9354.0
2008-05,8910.0
2008-06,8466.0
2008-07,8022.0
2008-08,7957.666666666667
2008-09,7893.333333333333
2008-10,7829.0
2008-11,7850.666666666667
2008-12,7872.333333333333
2009-01,7894.0
2009-02,8005.333333333333
2009-03,8116.666666666667
2009-04,8228.0
2009-05,7996.333333333333
2009-06,7764.666666666667
2009-07,7533.0
2009-08,7536.0
2009-09,7539.0
2009-10,7542.0
2009-11,7656.666666666667
2009-12,7771.333333333333
2010-01,7886.0
2010-02,8113.333333333333
2010-03,8340.666666666666
2010-04,8568.0
2010-05,8240.0
2010-06,7912.0
2010-07,7584.0
2010-08,7676.666666666667
2010-09,7769.333333333333
2010-10,7862.0
2010-11,7992.666666666667
2010-12,8123.333333333333
2011-01,8254.0
2011-02,8482.666666666666
2011-03,8711.333333333334
2011-04,8940.0
2011-05,8536.666666666666
2011-06,8133.333333333333
2011-07,7730.0
2011-08,7817.0
2011-09,7904.0
2011-10,7991.0
2011-11,8218.0
2011-12,8445.0
2012-01,8672.0
2012-02,8899.0
2012-03,9126.0
2012-04,9353.0
2012-05,8998.333333333334
2012-06,8643.666666666666
2012-07,8289.0
2012-08,8374.0
2012-09,8459.0
2012-10,8544.0
2012-11,8770.333333333334
2012-12,8996.666666666666
2013-01,9223.0
2013-02,9480.0
2013-03,9737.0
2013-04,9994.0
2013-05,9634.0
2013-06,9274.0
2013-07,8914.0
2013-08,9001.666666666666
2013-09,9089.333333333334
2013-10,9177.0
2013-11,9158.0
2013-12,9139.0
2014-01,9120.0
2014-02,9470.333333333334
2014-03,9820.666666666666
2014-04,10171.0
2014-05,9780.333333333334
2014-06,9389.666666666666
2014-07,8999.0
2014-08,9114.333333333334
2014-09,9229.666666666666
2014-10,9345.0
2014-11,9428.0
2014-12,9511.0
2015-01,9594.0
2015-02,9873.333333333334
2015-03,10152.666666666666
2015-04,10432.0
2015-05,9976.0
2015-06,9520.0
2015-07,9064.0
2015-08,9153.0
2015-09,9242.0
2015-10,9331.0
2015-11,9560.0
2015-12,9789.0
2016-01,10018.0
2016-02,10227.333333333334
2016-03,10436.666666666666
2016-04,10646.0
2016-05,10395.666666666666
2016-06,10145.333333333334
2016-07,9895.0
2016-08,9878.666666666666
2016-09,9862.333333333334
2016-10,9846.0
2016-11,10047.333333333334
2016-12,10248.666666666666
2017-01,10450.0
2017-02,10610.666666666666
2017-03,10771.333333333334
2017-04,10932.0
2017-05,10863.666666666666
2017-06,10795.333333333334
2017-07,10727.0
2017-08,10867.0
2017-09,11007.0
2017-10,11147.0
2017-11,11090.666666666666
2017-12,11034.333333333334
2018-01,10978.0
2018-02,11236.666666666666
2018-03,11495.333333333334
2018-04,11754.0
2018-05,11424.0
2018-06,11094.0
2018-07,10764.0
2018-08,10817.333333333334
2018-09,10870.666666666666
2018-10,10924.0
2018-11,11035.0
2018-12,11146.0
2019-01,11257.0
2019-02,11785.666666666666
2019-03,12314.333333333334
2019-04,12843.0
2019-05,12294.0
2019-06,11745.0
2019-07,11196.0
2019-08,11213.0
2019-09,11230.0
2019-10,11247.0
2019-11,11409.333333333334
2019-12,11571.666666666666
2020-01,11734.0
2020-02,11108.333333333334
2020-03,10482.666666666666
2020-04,9857.0
2020-05,10192.333333333334
2020-06,10527.666666666666
2020-07,10863.0
2020-08,11106.0
2020-09,11349.0
2020-10,11592.0
2020-11,11768.0
2020-12,11944.0
2021-01,12120.0
2021-02,13069.666666666666
2021-03,14019.333333333334
2021-04,14969.0
2021-05,14551.0
2021-06,14133.0
2021-07,13715.0
2021-08,13863.666666666666
2021-09,14012.333333333334
2021-10,14161.0
