DATE,ManufacturedHomesShipments
2002-01,194.0
2002-02,186.0
2002-03,171.0
2002-04,176.0
2002-05,173.0
2002-06,171.0
2002-07,169.0
2002-08,166.0
2002-09,162.0
2002-10,156.0
2002-11,150.0
2002-12,144.0
2003-01,141.0
2003-02,138.0
2003-03,128.0
2003-04,131.0
2003-05,130.0
2003-06,131.0
2003-07,137.0
2003-08,129.0
2003-09,128.0
2003-10,126.0
2003-11,125.0
2003-12,126.0
2004-01,122.0
2004-02,123.0
2004-03,133.0
2004-04,129.0
2004-05,129.0
2004-06,129.0
2004-07,129.0
2004-08,127.0
2004-09,134.0
2004-10,136.0
2004-11,135.0
2004-12,133.0
2005-01,149.0
2005-02,138.0
2005-03,126.0
2005-04,131.0
2005-05,127.0
2005-06,128.0
2005-07,128.0
2005-08,124.0
2005-09,136.0
2005-10,194.0
2005-11,210.0
2005-12,183.0
2006-01,163.0
2006-02,146.0
2006-03,135.0
2006-04,126.0
2006-05,122.0
2006-06,116.0
2006-07,110.0
2006-08,108.0
2006-09,102.0
2006-10,98.0
2006-11,97.0
2006-12,97.0
2007-01,97.0
2007-02,97.0
2007-03,98.0
2007-04,98.0
2007-05,97.0
2007-06,98.0
2007-07,96.0
2007-08,94.0
2007-09,93.0
2007-10,94.0
2007-11,93.0
2007-12,92.0
2008-01,95.0
2008-02,99.0
2008-03,93.0
2008-04,92.0
2008-05,87.0
2008-06,84.0
2008-07,82.0
2008-08,79.0
2008-09,75.0
2008-10,69.0
2008-11,66.0
2008-12,62.0
2009-01,57.0
2009-02,54.0
2009-03,50.0
2009-04,48.0
2009-05,48.0
2009-06,46.0
2009-07,50.0
2009-08,48.0
2009-09,48.0
2009-10,49.0
2009-11,51.0
2009-12,51.0
2010-01,51.0
2010-02,53.0
2010-03,54.0
2010-04,55.0
2010-05,57.0
2010-06,55.0
2010-07,52.0
2010-08,50.0
2010-09,47.0
2010-10,43.0
2010-11,43.0
2010-12,40.0
2011-01,44.0
2011-02,44.0
2011-03,46.0
2011-04,47.0
2011-05,49.0
2011-06,50.0
2011-07,48.0
2011-08,50.0
2011-09,56.0
2011-10,63.0
2011-11,65.0
2011-12,58.0
2012-01,59.0
2012-02,58.0
2012-03,57.0
2012-04,55.0
2012-05,54.0
2012-06,54.0
2012-07,54.0
2012-08,54.0
2012-09,53.0
2012-10,53.0
2012-11,54.0
2012-12,56.0
2013-01,57.0
2013-02,59.0
2013-03,56.0
2013-04,60.0
2013-05,59.0
2013-06,61.0
2013-07,58.0
2013-08,62.0
2013-09,65.0
2013-10,63.0
2013-11,62.0
2013-12,61.0
2014-01,57.0
2014-02,61.0
2014-03,62.0
2014-04,63.0
2014-05,64.0
2014-06,63.0
2014-07,68.0
2014-08,67.0
2014-09,67.0
2014-10,67.0
2014-11,66.0
2014-12,66.0
2015-01,65.0
2015-02,65.0
2015-03,67.0
2015-04,67.0
2015-05,69.0
2015-06,68.0
2015-07,74.0
2015-08,74.0
2015-09,72.0
2015-10,74.0
2015-11,75.0
2015-12,76.0
2016-01,78.0
2016-02,77.0
2016-03,79.0
2016-04,79.0
2016-05,79.0
2016-06,80.0
2016-07,75.0
2016-08,80.0
2016-09,83.0
2016-10,84.0
2016-11,87.0
2016-12,94.0
2017-01,99.0
2017-02,93.0
2017-03,89.0
2017-04,89.0
2017-05,89.0
2017-06,90.0
2017-07,83.0
2017-08,91.0
2017-09,92.0
2017-10,98.0
2017-11,100.0
2017-12,104.0
2018-01,103.0
2018-02,101.0
2018-03,100.0
2018-04,99.0
2018-05,98.0
2018-06,97.0
2018-07,95.0
2018-08,97.0
2018-09,96.0
2018-10,93.0
2018-11,89.0
2018-12,87.0
2019-01,87.0
2019-02,90.0
2019-03,91.0
2019-04,94.0
2019-05,94.0
2019-06,96.0
2019-07,95.0
2019-08,96.0
2019-09,98.0
2019-10,99.0
2019-11,99.0
2019-12,97.0
2020-01,98.0
2020-02,104.0
2020-03,96.0
2020-04,75.0
2020-05,82.0
2020-06,87.0
2020-07,94.0
2020-08,95.0
2020-09,96.0
2020-10,98.0
2020-11,101.0
2020-12,103.0
2021-01,105.0
2021-02,102.0
2021-03,108.0
2021-04,106.0
2021-05,105.0
2021-06,106.0
2021-07,104.0
2021-08,105.0
2021-09,106.0
2021-10,107.0
2021-11,110.0
2021-12,108.0
2022-01,112.0
