DATE,UnemploymentRate
2002-01,5.7
2002-02,5.7
2002-03,5.7
2002-04,5.9
2002-05,5.8
2002-06,5.8
2002-07,5.8
2002-08,5.7
2002-09,5.7
2002-10,5.7
2002-11,5.9
2002-12,6.0
2003-01,5.8
2003-02,5.9
2003-03,5.9
2003-04,6.0
2003-05,6.1
2003-06,6.3
2003-07,6.2
2003-08,6.1
2003-09,6.1
2003-10,6.0
2003-11,5.8
2003-12,5.7
2004-01,5.7
2004-02,5.6
2004-03,5.8
2004-04,5.6
2004-05,5.6
2004-06,5.6
2004-07,5.5
2004-08,5.4
2004-09,5.4
2004-10,5.5
2004-11,5.4
2004-12,5.4
2005-01,5.3
2005-02,5.4
2005-03,5.2
2005-04,5.2
2005-05,5.1
2005-06,5.0
2005-07,5.0
2005-08,4.9
2005-09,5.0
2005-10,5.0
2005-11,5.0
2005-12,4.9
2006-01,4.7
2006-02,4.8
2006-03,4.7
2006-04,4.7
2006-05,4.6
2006-06,4.6
2006-07,4.7
2006-08,4.7
2006-09,4.5
2006-10,4.4
2006-11,4.5
2006-12,4.4
2007-01,4.6
2007-02,4.5
2007-03,4.4
2007-04,4.5
2007-05,4.4
2007-06,4.6
2007-07,4.7
2007-08,4.6
2007-09,4.7
2007-10,4.7
2007-11,4.7
2007-12,5.0
2008-01,5.0
2008-02,4.9
2008-03,5.1
2008-04,5.0
2008-05,5.4
2008-06,5.6
2008-07,5.8
2008-08,6.1
2008-09,6.1
2008-10,6.5
2008-11,6.8
2008-12,7.3
2009-01,7.8
2009-02,8.3
2009-03,8.7
2009-04,9.0
2009-05,9.4
2009-06,9.5
2009-07,9.5
2009-08,9.6
2009-09,9.8
2009-10,10.0
2009-11,9.9
2009-12,9.9
2010-01,9.8
2010-02,9.8
2010-03,9.9
2010-04,9.9
2010-05,9.6
2010-06,9.4
2010-07,9.4
2010-08,9.5
2010-09,9.5
2010-10,9.4
2010-11,9.8
2010-12,9.3
2011-01,9.1
2011-02,9.0
2011-03,9.0
2011-04,9.1
2011-05,9.0
2011-06,9.1
2011-07,9.0
2011-08,9.0
2011-09,9.0
2011-10,8.8
2011-11,8.6
2011-12,8.5
2012-01,8.3
2012-02,8.3
2012-03,8.2
2012-04,8.2
2012-05,8.2
2012-06,8.2
2012-07,8.2
2012-08,8.1
2012-09,7.8
2012-10,7.8
2012-11,7.7
2012-12,7.9
2013-01,8.0
2013-02,7.7
2013-03,7.5
2013-04,7.6
2013-05,7.5
2013-06,7.5
2013-07,7.3
2013-08,7.2
2013-09,7.2
2013-10,7.2
2013-11,6.9
2013-12,6.7
2014-01,6.6
2014-02,6.7
2014-03,6.7
2014-04,6.2
2014-05,6.3
2014-06,6.1
2014-07,6.2
2014-08,6.1
2014-09,5.9
2014-10,5.7
2014-11,5.8
2014-12,5.6
2015-01,5.7
2015-02,5.5
2015-03,5.4
2015-04,5.4
2015-05,5.6
2015-06,5.3
2015-07,5.2
2015-08,5.1
2015-09,5.0
2015-10,5.0
2015-11,5.1
2015-12,5.0
2016-01,4.8
2016-02,4.9
2016-03,5.0
2016-04,5.1
2016-05,4.8
2016-06,4.9
2016-07,4.8
2016-08,4.9
2016-09,5.0
2016-10,4.9
2016-11,4.7
2016-12,4.7
2017-01,4.7
2017-02,4.6
2017-03,4.4
2017-04,4.4
2017-05,4.4
2017-06,4.3
2017-07,4.3
2017-08,4.4
2017-09,4.3
2017-10,4.2
2017-11,4.2
2017-12,4.1
2018-01,4.0
2018-02,4.1
2018-03,4.0
2018-04,4.0
2018-05,3.8
2018-06,4.0
2018-07,3.8
2018-08,3.8
2018-09,3.7
2018-10,3.8
2018-11,3.8
2018-12,3.9
2019-01,4.0
2019-02,3.8
2019-03,3.8
2019-04,3.6
2019-05,3.6
2019-06,3.6
2019-07,3.7
2019-08,3.7
2019-09,3.5
2019-10,3.6
2019-11,3.6
2019-12,3.6
2020-01,3.5
2020-02,3.5
2020-03,4.4
2020-04,14.7
2020-05,13.2
2020-06,11.0
2020-07,10.2
2020-08,8.4
2020-09,7.9
2020-10,6.9
2020-11,6.7
2020-12,6.7
2021-01,6.4
2021-02,6.2
2021-03,6.0
2021-04,6.0
2021-05,5.8
2021-06,5.9
2021-07,5.4
2021-08,5.2
2021-09,4.7
2021-10,4.6
2021-11,4.2
2021-12,3.9
2022-01,4.0
2022-02,3.8
